site,season,date,time,latitude,longitude,temp,pH,specific_conductance,turbidity,HDO_con_mg_liter,HDO_sat_percent,cdom_probe_value,alternate_cdom_probe_value,Chl,salinity,DIC,alkalinity,DOC,fluorescence_index,humification_index,fluorescence_index_new,manta_probe1,manta_probe2,freshness,coble_peak_b,coble_peak_t,coble_peak_a,coble_peak_m,coble_peak_c,uva_254,specific_uva_254,uva_412,spectral_slope_275_295,spectral_slope_350_400,spectral_slope_ratio,spectral_slope_280_450,spectral_slope_588_598,total_absorb_250_450,total_absorb_300_340,model_comp_1,model_comp_2,model_comp_3,model_comp_4,pCO2,pCH4,pN2O
Oyster,Wet,2022-10-17,15:45,25.34187,-81.05741,28.97,8.04,21500,-9999,3.68,52.8,-9999,-9999,-9999,12.8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3141.15,111.77,0.35
WhiteWater 1 (WWB1),Wet,2022-10-17,-9999,25.30627,-81.01984,28.92,8.66,14390,-9999,7.29,101.9,-9999,-9999,-9999,8.29,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,666.43,34.35,0.24
WWB2,Wet,2022-10-17,-9999,25.27462,-80.98427,28.67,8.56,15140,-9999,6.78,94.6,-9999,-9999,-9999,8.77,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,874.21,34.68,0.26
Tarpon Creek,Wet,2022-10-17,17:00,25.20855,-80.93024,28.29,8,208310,-9999,2.57,36.3,-9999,-9999,-9999,12.07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4015.33,706.63,0.35
SRS Gulf,Wet,2022-10-15,13:15,25.35741,-81.1377,29.18,8.18,38500,-9999,4.24,65.1,-9999,-9999,-9999,24.4,2806.24,3080.8,6.55,1.19,11.15,1.5,1386.73,524.75,0.67,0.18,0.18,1.47,0.78,0.58,21.42,3.27,1.59,0.02,0.02,1.07,0.02,-0.02,1418.74,314.38,1.31,0.78,0.33,0.16,1868.11,77.38,0.32
SRS Mouth,Wet,2022-10-15,-9999,25.35379,-81.11199,29.18,8.15,32700,-9999,3.92,58.9,-9999,-9999,-9999,20.36,2967.89,3217,7.58,1.18,6.6,1.5,1814.03,686.12,0.65,0.5,0.64,1.92,1.01,0.75,28.52,3.76,2.39,0.02,0.02,1.1,0.02,-0.03,1941.05,432.03,1.69,1.01,0.42,0.53,2507.95,95.14,0.33
SRS 6,Wet,2022-10-15,15:31,25.365084,-81.078274,28.5,7.85,12510,-9999,3.4,46.9,-9999,-9999,-9999,7.13,3130.5,3162.9,11,1.17,13.64,1.48,2992.56,1174.77,0.6,0.28,0.38,3.13,1.67,1.26,41.82,3.8,3.7,0.02,0.02,0.99,0.02,-0.02,2944.11,673.33,2.86,1.56,0.71,0.23,4978.88,127.62,0.36
SRS 6 Tidal Creek,Wet,2022-10-17,9:34,25.36462994,-81.07794623,27.02,7.92,20960,-9999,3.94,54.4,-9999,-9999,-9999,12.51,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4110.58,416.42,0.3
SRS 5_5,Wet,2022-10-15,15:57,25.37178,-81.05574,28.77,7.91,4525,-9999,3.27,44.2,-9999,-9999,-9999,2.38,2906.96,2903.4,11.47,1.16,8.88,1.48,3258.18,1274.05,0.6,0.38,0.54,3.41,1.86,1.38,43.12,3.76,3.63,0.02,0.02,0.98,0.02,-0.02,2990.37,682.6,3.13,1.74,0.74,0.34,5599.21,173.66,0.39
SRS 5,Wet,2022-10-17,14:39,25.377403,-81.032725,28.05,7.89,1696,-9999,3.56,47,-9999,-9999,-9999,0.85,2739.86,2708.1,11.05,1.17,6.52,1.48,3144.66,1180.01,0.61,0.86,1.02,3.34,1.81,1.29,39.59,3.58,3.26,0.02,0.02,1.02,0.02,-0.03,2688.07,604.75,2.98,1.72,0.66,0.8,5653.76,241.1,0.4
SRS 4_8,Wet,2022-10-17,14:49,25.38756,-81.01363,27.88,7.85,1737,-9999,3.57,47.1,-9999,-9999,-9999,0.87,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5660.63,363.05,0.43
SRS 4_6,Wet,2022-10-17,14:57,25.40454,-81.01028,27.9,7.88,1281,-9999,4,52.6,-9999,-9999,-9999,0.63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5298.79,485.95,0.42
SRS 4_5,Wet,2022-10-17,15:10,25.41263,-80.97653,27.8,7.96,938.1,-9999,4.75,62.3,-9999,-9999,-9999,0.46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4155.52,406.5,0.34
SRS 4,Wet,2022-10-17,10:16,25.409986,-80.964627,27.35,7.85,720,-9999,3.55,46.3,-9999,-9999,-9999,0.34,2568.54,2519.9,11.37,1.18,9.65,1.48,2816.72,1037.26,0.61,0.4,0.41,3.05,1.67,1.15,32.79,2.88,2.24,0.02,0.02,0.97,0.02,-0.02,2126.55,474.76,2.73,1.59,0.56,0.29,6418.17,1418.33,0.38
Tarpon Bay,Wet,2022-10-17,11:05,25.42426,-80.97869,27.51,7.79,755.9,-9999,3.53,46.1,-9999,-9999,-9999,0.36,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6430.07,809.54,0.39
Tarpon Bay 2,Wet,2022-10-17,11:25,25.4173,-80.99563,27.65,7.84,1226,-9999,3.92,51.4,-9999,-9999,-9999,0.6,2623.3,2578.3,10.79,1.17,11.1,1.48,3139.04,1188.02,0.6,0.37,0.41,3.35,1.81,1.3,38.39,3.56,2.96,0.02,0.02,0.97,0.02,-0.03,2584.5,584.65,3.03,1.71,0.7,0.32,5264.28,460.71,0.4
Harney 1,Wet,2022-10-17,11:33,25.41772,-81.0106,27.79,7.84,1681,-9999,3.6,47.4,-9999,-9999,-9999,0.84,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5364.79,438.3,0.39
Harney 2,Wet,2022-10-17,11:41,25.42348,-81.02625,27.59,7.79,2766,-9999,2.99,39.3,-9999,-9999,-9999,1.42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6218.06,274.13,0.4
Harney 3,Wet,2022-10-17,-9999,25.42849,-81.04475,27.53,7.8,3668,-9999,2.87,37.9,-9999,-9999,-9999,1.92,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6369,225.72,0.41
Harney 4,Wet,2022-10-17,12:02,25.42422,-81.06303,27.42,7.77,4489,-9999,2.48,32.7,-9999,-9999,-9999,2.38,2985.74,2947.2,13.39,1.15,12.81,1.47,3802.46,1535.51,0.57,0.34,0.45,3.94,2.1,1.62,51.66,3.86,4.61,0.02,0.02,0.98,0.02,-0.02,3664.47,843.43,3.64,1.9,0.93,0.26,6834.47,235.15,0.41
Harney 5,Wet,2022-10-17,12:16,25.4315,-81.08224,27.37,7.74,7885,-9999,2.06,27.4,-9999,-9999,-9999,4.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7358.37,251.05,0.43
Harney 6,Wet,2022-10-17,12:28,25.4316,-81.09261,27.42,7.72,11850,-9999,1.83,24.8,-9999,-9999,-9999,6.73,3148.51,3136.5,12.64,1.16,13.22,1.48,3643.8,1503.46,0.57,0.34,0.4,3.73,1.99,1.58,50.61,4,4.68,0.02,0.02,0.98,0.02,-0.02,3634.15,838.73,3.49,1.76,0.94,0.24,6959.7,306.38,0.41
Harney 7,Wet,2022-10-17,-9999,25.43094,-81.10364,27.55,7.71,15350,-9999,1.81,24.9,-9999,-9999,-9999,8.94,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6831.84,308.54,0.42
Harney 8,Wet,2022-10-17,-9999,25.42511,-81.11657,27.79,7.73,21350,-9999,1.89,26.5,-9999,-9999,-9999,12.63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6579.48,356,0.42
Harney 9,Wet,2022-10-17,13:01,25.42255,-81.12547,28,7.77,24200,-9999,2.01,28.6,-9999,-9999,-9999,14.62,4178.33,4245.2,10.77,1.18,9.89,1.51,2851.82,1164.66,0.61,0.3,0.46,2.96,1.57,1.24,40.89,3.8,3.79,0.02,0.02,1,0.02,-0.02,2927.64,672.66,2.71,1.47,0.71,0.3,5643.04,370.04,0.4
Harney 10,Wet,2022-10-17,-9999,25.41709,-81.13443,28.21,7.79,27450,-9999,2.29,33.5,-9999,-9999,-9999,16.63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5257.7,367.55,0.4
Harney Mouth,Wet,2022-10-17,13:45,25.41172,-81.14397,28.5,7.92,31000,-9999,2.66,39.5,-9999,-9999,-9999,20.2,2968.94,3096.2,8.56,1.17,9.06,1.49,2292.16,923.68,0.64,0.27,0.43,2.4,1.28,0.99,32.95,3.85,2.96,0.02,0.02,1.01,0.02,-0.02,2330.43,532.51,2.17,1.24,0.55,0.28,3850.55,330.54,0.36
SRS Gulf,Dry,2023-03-10,13:59,25.35741,-81.1377,25.57,7.93,81080,155.8,5.85,101.9,22.97,86.53,1.95,31.11,3321.26,3526.17,5.4,1.22,7.43,1.5,1030.82,356.78,0.76,0.17,0.25,1.13,0.57,0.4,16.06,2.97,0.95,0.02,0.02,1.08,0.02,-0.02,995.29,214.07,0.95,0.66,0.2,0.19,1046.32,14.26,0.26
SRS Mouth,Dry,2023-03-10,14:58,25.35379,-81.11199,25.88,7.87,51360,9.24,6.3,96.8,22.27,81.02,3.73,28.32,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1181.72,31.23,0.27
SRS 6,Dry,2023-03-11,16:05,25.365084,-81.078274,26.04,7.83,50440,14.95,5.9,90.5,28,98.34,3.05,28.33,3554.77,3673.77,5.76,1.21,5.45,1.49,1168.15,414.61,0.75,0.2,0.48,1.25,0.65,0.46,18.1,3.14,1.27,0.02,0.02,1.12,0.02,-0.01,1164.69,252.94,1.07,0.75,0.24,0.31,1544.02,53.75,0.27
SRS 6 Tidal Creek,Dry,2023-03-10,15:57,25.36462994,-81.07794623,26.2,7.77,87760,8.93,4.74,86.1,26.3,95.87,3.03,3.85,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1849.77,80.32,0.29
SRS 6 Tidal Creek Porewater,Dry,2023-03-10,11:00,25.36462994,-81.07794623,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7623.68,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,220369.6,87837.76,0.25
SRS 6 Tidal Creek Porewater 2,Dry,2023-03-10,-9999,25.36462994,-81.07794623,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,128078.49,64531.18,0.24
SRS 6 Tidal Creek 2,Dry,2023-03-11,-9999,25.36462994,-81.07794623,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1492.47,61.02,0.3
SRS 6 Tidal Creek 3,Dry,2023-03-12,11:00,25.36462994,-81.07794623,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8235.96,1553.79,0.29
SRS 5_5,Dry,2023-03-11,15:41,25.37178,-81.05574,25.86,7.57,48400,12.41,4.46,67.7,39.12,135.97,2.64,28.26,3991.38,3933.77,6.43,1.2,9.77,1.51,1481.06,548.83,0.7,0.15,0.28,1.55,0.8,0.6,22.64,3.52,1.78,0.02,0.02,1.1,0.02,-0.02,1511.33,334.62,1.38,0.86,0.33,0.18,2825.9,109.75,0.28
SRS 5,Dry,2023-03-11,15:15,25.377403,-81.032725,25.84,7.52,45820,8.61,3.85,58.1,44.61,155.99,2.52,28.11,4126.65,4081.63,7.36,1.2,10.97,1.51,1744.96,652.15,0.69,0.16,0.29,1.82,0.94,0.71,24.52,3.33,1.81,0.02,0.02,1.07,0.02,-0.02,1622.93,359.53,1.63,0.99,0.39,0.19,3831.57,134.83,0.28
SRS 4_8,Dry,2023-03-11,15:05,25.38756,-81.01363,25.87,7.5,43060,6.08,3.81,56.6,54.62,192.04,2.26,27.46,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4527.9,121.71,0.29
SRS 4_6,Dry,2023-03-11,14:53,25.40454,-81.01028,25.96,7.52,33560,3.61,3.98,57,73.09,255.45,2.48,24.08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5279.92,142.28,0.29
SRS 4_5,Dry,2023-03-11,14:16,25.41263,-80.97653,26.9,7.77,12480,1.56,5.46,73.5,96.87,336.82,3.03,8.75,5097.87,5090.23,18.37,1.21,11.76,1.52,4889.11,1688.83,0.68,0.42,0.78,5.34,2.76,1.92,54.04,2.94,3.38,0.02,0.02,1.01,0.02,-0.02,3408.63,750.4,4.65,2.92,0.9,0.46,4182.21,154.02,0.28
SRS 4,Dry,2023-03-11,13:34,25.409986,-80.964627,26.67,7.73,10340,1.56,5.17,68.8,98.66,343.62,3.25,6.83,-9999,5177.77,17.9,1.21,11.76,1.51,4898.94,1695.59,0.68,0.38,0.76,5.32,2.76,1.93,54.11,3.02,3.36,0.02,0.02,1.01,0.02,-0.02,3400.66,747.19,4.66,2.92,0.9,0.45,4085.45,231.68,0.27
Tarpon Bay,Dry,2023-03-12,12:15,25.42426,-80.97869,26.35,7.76,9937,0.75,5.5,72.7,96.22,348.83,3.01,6.4,4907.31,4931.27,18.13,1.21,12.06,1.53,4838.78,1666.3,0.68,0.39,0.75,5.29,2.74,1.9,53.39,2.94,3.23,0.02,0.02,1,0.02,-0.03,3334.04,732.29,4.61,2.92,0.88,0.44,3689.27,122.59,0.3
Tarpon Bay 2,Dry,2023-03-12,12:44,25.4173,-80.99563,26.17,7.78,12860,1.06,5.66,75.3,96.77,338.83,2.93,9.18,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3626.91,118.86,0.31
Harney 1,Dry,2023-03-12,12:51,25.41772,-81.0106,26.24,7.76,5651,15.08,5.73,74.5,93.86,334.11,2.86,7.05,5054.14,5049.57,17.25,1.21,11.76,1.52,4586.32,1596.19,0.68,0.35,0.71,4.96,2.59,1.82,52.16,3.02,3.3,0.02,0.02,1.01,0.02,-0.02,3303.67,728.74,4.37,2.74,0.85,0.41,3673.38,91.47,0.31
Harney 2,Dry,2023-03-12,13:15,25.42348,-81.02625,25.47,7.64,24110,2.54,4.74,64.9,87,308.91,2.94,18.15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4405.56,106.94,0.32
Harney 3,Dry,2023-03-12,13:23,25.42849,-81.04475,25.62,7.62,29300,2.29,4.7,65.8,79.97,283.37,2.77,21.84,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4607.66,98.74,0.32
Harney 4,Dry,2023-03-12,13:35,25.42422,-81.06303,25.5,7.58,38980,3.03,4.48,65.1,67.32,240.88,2.48,26.32,4674.01,4658,11.16,1.19,11.71,1.51,2929.16,1091.12,0.67,0.26,0.44,3.12,1.61,1.2,38.71,3.47,2.84,0.02,0.02,1.04,0.02,-0.02,2575.58,575.33,2.77,1.66,0.63,0.28,4278.44,89.37,0.31
Harney 5,Dry,2023-03-12,13:51,25.4315,-81.08224,25.22,7.56,45180,5.76,4.05,60,58.32,208.33,2.49,27.88,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4385.65,118.74,0.31
Harney 6,Dry,2023-03-12,13:58,25.4316,-81.09261,24.82,7.55,46410,8.56,3.78,55.9,56.55,201.89,2.63,28.06,4412.03,4387.93,9.14,1.2,11.53,1.51,2329.4,894.67,0.67,0.22,0.36,2.43,1.26,0.97,33,3.61,2.58,0.02,0.02,1.05,0.02,-0.02,2238.21,501.38,2.19,1.27,0.54,0.24,3897.93,156.59,0.3
Harney 8,Dry,2023-03-12,14:18,25.42511,-81.11657,-9999,-9999,46750,12.66,3.77,56,51.75,182.86,2.59,28.2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3678.09,225.1,0.29
Harney 9,Dry,2023-03-12,14:26,25.42255,-81.12547,25.18,7.65,48260,15.41,4.08,61.1,46.46,166.03,2.67,28.25,4192.09,4189.87,7.99,1.2,9.7,1.5,1889.87,717.35,0.69,0.22,0.35,1.98,1.03,0.78,28.99,3.63,2.52,0.02,0.02,1.12,0.02,-0.03,1990.69,443.41,1.77,1.07,0.44,0.24,2970.87,162.3,0.29
Harney Mouth,Dry,2023-03-12,14:50,25.41172,-81.14397,25.88,7.87,48860,17.75,5.93,90.2,36.18,129.31,2.54,28.29,3833.97,3978.37,7.15,1.2,8.51,1.49,1513.95,551.7,0.72,0.2,0.33,1.62,0.84,0.61,23.47,3.28,1.59,0.02,0.02,1.08,0.02,-0.02,1519.68,333.2,1.41,0.92,0.32,0.25,1567.51,116.9,0.28
Harney Gulf,Dry,2023-03-12,15:13,25.24592,-81.91454,26.47,7.91,49000,14.45,6.59,99.7,34.59,123.06,2.99,28.29,3776.66,3967.77,7.03,1.21,7.66,1.5,1464.63,530.06,0.72,0.23,0.37,1.55,0.82,0.59,22.68,3.22,1.5,0.02,0.02,1.08,0.02,-0.03,1455.64,317.62,1.36,0.91,0.31,0.27,1194.63,33.41,0.27
SRSDist1,Dry,2023-03-10,14:38,25.23484,-81.6921,25.84,7.59,48030,39.73,5.41,81.9,41.88,153.22,5.56,28.23,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3468.9,214.08,0.28
SRSDist2,Dry,2023-03-13,10:52,25.22242,-81.5802,25.49,7.63,49820,8.29,3.99,60.6,35.5,126.84,1.67,28.32,3809.41,3848.1,6.13,1.2,8.26,1.5,1378.56,509.03,0.72,0.17,0.31,1.45,0.75,0.56,20.95,3.42,1.5,0.02,0.02,1.07,0.02,-0.02,1372.15,302.33,1.28,0.82,0.31,0.21,2498.65,93.42,0.3
SRSDist3,Dry,2023-03-13,11:18,25.22396,-81.7151,25.64,7.7,50080,7.97,4.53,68.9,33.68,119.3,1.66,28.33,3763.98,3817.7,6.07,1.2,9.24,1.49,1347.53,493.09,0.74,0.17,0.26,1.43,0.73,0.54,20.12,3.32,1.37,0.02,0.02,1.07,0.02,-0.02,1301.26,285.83,1.25,0.8,0.3,0.18,1352.36,36.66,0.26
SRSDist4,Dry,2023-03-13,11:45,25.22971,-81.5536,25.11,7.45,48380,9.79,3.05,45.6,49.2,170.55,2.81,28.25,4323.9,4258.6,7.59,1.19,11.52,1.5,1959.1,761.27,0.67,0.19,0.31,2.02,1.03,0.82,28.83,3.8,2.51,0.02,0.02,1.08,0.02,-0.02,1998.63,448.99,1.83,1.05,0.48,0.19,4503.61,208.48,0.28
SRSDist5,Dry,2023-03-13,12:16,25.23578,-81.2898,24.11,7.36,44630,3.17,2.21,32,67.66,246.06,3.39,27.79,4801.75,4668.83,10.01,1.18,13.59,1.5,2794.99,1115.24,0.64,0.21,0.38,2.87,1.45,1.17,38.31,3.83,3.33,0.02,0.02,1.03,0.02,-0.02,2691.82,612.39,2.61,1.42,0.72,0.21,7820.01,173.07,0.29
SRSDist6,Dry,2023-03-13,12:57,25.2354,-81.154,25.19,7.51,37350,1.73,3.47,49.8,72.58,259.43,2.84,25.73,4898.87,4843.37,11.74,1.19,12.65,1.51,3301.76,1220.2,0.67,0.28,0.51,3.51,1.78,1.34,43.01,3.66,3.72,0.02,0.02,1.08,0.02,-0.02,2954.31,662.04,3.12,1.84,0.72,0.29,5709.42,75.21,0.29
